Data;Hora;CPU;RAM
2025-08-06;15:55:09;7.80;47.53
2025-08-06;15:55:11;2.20;47.55
2025-08-06;15:55:12;1.40;47.44
2025-08-06;15:55:14;0.70;47.38
2025-08-06;15:55:15;4.50;47.06
2025-08-06;15:55:17;2.30;47.08
2025-08-06;15:55:18;8.30;47.62
2025-08-06;15:55:20;8.80;47.04
2025-08-06;15:55:21;1.50;47.02
2025-08-06;15:55:23;0.70;47.16
2025-08-06;15:55:24;1.50;47.19
2025-08-06;15:55:26;0.70;47.11
2025-08-06;15:55:27;1.50;47.06
2025-08-06;15:55:29;1.50;46.76
2025-08-06;15:55:30;0.70;47.59
2025-08-06;15:55:32;0.70;47.62
2025-08-06;15:55:33;2.20;47.67
2025-08-06;15:55:35;1.40;47.67
2025-08-06;15:55:36;0.70;47.67
2025-08-06;15:55:38;1.40;47.71
2025-08-06;15:55:39;1.50;47.64
2025-08-06;15:55:41;1.40;47.70
2025-08-06;15:55:42;0.70;47.63
2025-08-06;15:55:44;0.70;47.57
2025-08-06;15:55:45;1.40;47.55
2025-08-06;15:55:47;1.50;47.45
2025-08-06;15:55:48;0.70;47.47
2025-08-06;15:55:50;0.80;47.45
2025-08-06;15:55:51;1.40;47.44
2025-08-06;15:55:53;1.50;47.42
2025-08-06;15:55:54;0.70;47.44
2025-08-06;15:55:56;1.40;47.28
2025-08-06;15:55:57;1.50;47.29
2025-08-06;15:55:59;0.70;47.29
2025-08-06;15:56:00;0.00;47.24
2025-08-06;15:56:02;0.70;47.28
2025-08-06;15:56:03;1.50;47.32
2025-08-06;15:56:05;0.70;47.38
2025-08-06;15:56:06;1.50;47.33
2025-08-06;15:56:08;0.70;47.47
2025-08-06;15:56:09;0.80;47.41
2025-08-06;15:56:11;0.70;47.45
2025-08-06;15:56:12;1.50;47.29
2025-08-06;15:56:14;0.70;47.36
2025-08-06;15:56:15;1.50;47.36
2025-08-06;15:56:17;0.70;47.20
2025-08-06;15:56:18;0.80;47.16
2025-08-06;15:56:20;0.70;47.20
2025-08-06;15:56:21;0.70;47.10
2025-08-06;15:56:23;2.20;47.31
2025-08-06;15:56:24;1.50;47.33
2025-08-06;15:56:26;1.40;47.38
2025-08-06;15:56:27;12.20;47.55
2025-08-06;15:56:29;0.70;47.50
2025-08-06;15:56:30;1.40;47.50
2025-08-06;15:56:32;1.50;47.62
2025-08-06;15:56:33;1.50;47.38
2025-08-06;15:56:35;0.70;47.31
2025-08-06;15:56:36;1.40;47.28
2025-08-06;15:56:38;1.40;47.25
2025-08-06;15:56:39;0.70;47.19
2025-08-06;15:56:41;0.70;47.21
2025-08-06;15:56:42;0.70;47.02
2025-08-06;15:56:44;0.80;47.12
2025-08-06;15:56:45;0.70;47.16
2025-08-06;15:56:47;1.50;47.29
2025-08-06;15:56:48;0.70;47.23
2025-08-06;15:56:50;0.70;47.24
2025-08-06;15:56:51;0.70;47.24
2025-08-06;15:56:53;1.50;47.27
2025-08-06;15:56:55;0.70;47.21
2025-08-06;15:56:56;1.50;47.23
2025-08-06;15:56:58;0.70;47.38
2025-08-06;15:56:59;0.70;47.41
2025-08-06;15:57:01;1.50;47.42
2025-08-06;15:57:02;0.70;47.46
2025-08-06;15:57:04;2.20;47.46
2025-08-06;15:57:05;2.90;47.25
2025-08-06;15:57:07;2.30;47.31
2025-08-06;15:57:08;0.70;47.27
2025-08-06;15:57:10;0.70;47.29
2025-08-06;15:57:11;0.70;47.40
2025-08-06;15:57:13;0.70;47.41
2025-08-06;15:57:14;0.70;47.42
2025-08-06;15:57:16;1.40;47.34
2025-08-06;15:57:17;0.70;47.55
2025-08-06;15:57:19;1.50;47.44
2025-08-06;15:57:20;0.70;47.47
2025-08-06;15:57:22;0.70;47.50
2025-08-06;15:57:23;1.50;47.47
2025-08-06;15:57:25;1.40;47.47
2025-08-06;15:57:26;1.40;47.62
2025-08-06;15:57:28;2.10;47.54
2025-08-06;15:57:29;0.70;47.57
2025-08-06;15:57:31;0.70;47.53
2025-08-06;15:57:32;1.50;47.40
2025-08-06;15:57:34;0.70;47.44
2025-08-06;15:57:35;1.50;47.42
2025-08-06;15:57:37;1.50;47.37
2025-08-06;15:57:38;1.50;47.36
2025-08-06;15:57:40;1.50;47.45
2025-08-06;15:57:41;7.40;47.42
2025-08-06;15:57:43;14.00;47.71
2025-08-06;15:57:44;10.40;47.62
2025-08-06;15:57:46;8.20;47.62
2025-08-06;15:57:47;11.90;47.63
2025-08-06;15:57:49;14.70;48.38
2025-08-06;15:57:50;8.00;47.38
