Data;Hora;CPU;RAM
2025-08-06;16:02:44;8.20;48.32
2025-08-06;16:02:46;1.50;47.64
2025-08-06;16:02:47;12.30;47.98
2025-08-06;16:02:49;1.50;47.76
2025-08-06;16:02:50;3.70;47.59
2025-08-06;16:02:52;0.70;47.29
2025-08-06;16:02:53;3.00;46.98
2025-08-06;16:02:55;0.70;46.87
2025-08-06;16:02:56;5.10;46.64
2025-08-06;16:02:58;14.30;48.13
2025-08-06;16:02:59;4.50;48.44
2025-08-06;16:03:01;11.60;49.68
2025-08-06;16:03:02;3.10;51.46
2025-08-06;16:03:04;3.70;51.53
2025-08-06;16:03:05;9.60;52.50
2025-08-06;16:03:07;10.40;52.46
2025-08-06;16:03:08;15.90;53.03
2025-08-06;16:03:10;20.90;53.78
2025-08-06;16:03:11;35.10;54.57
2025-08-06;16:03:13;3.80;54.53
2025-08-06;16:03:14;6.70;54.10
2025-08-06;16:03:16;5.20;54.16
2025-08-06;16:03:17;3.00;54.04
2025-08-06;16:03:19;2.30;53.93
2025-08-06;16:03:20;2.90;53.84
2025-08-06;16:03:22;2.20;53.71
2025-08-06;16:03:23;3.00;53.58
2025-08-06;16:03:25;1.50;53.60
2025-08-06;16:03:26;5.20;53.53
2025-08-06;16:03:28;1.50;53.62
2025-08-06;16:03:29;15.30;53.79
2025-08-06;16:03:31;14.20;53.65
2025-08-06;16:03:32;29.90;54.51
2025-08-06;16:03:34;24.80;56.77
2025-08-06;16:03:35;20.30;56.61
2025-08-06;16:03:37;14.50;56.41
2025-08-06;16:03:38;17.50;56.62
2025-08-06;16:03:40;12.60;56.24
2025-08-06;16:03:41;6.70;55.72
2025-08-06;16:03:43;5.80;55.53
2025-08-06;16:03:44;6.00;55.23
2025-08-06;16:03:46;6.00;55.02
2025-08-06;16:03:47;7.60;54.81
2025-08-06;16:03:49;5.90;54.85
2025-08-06;16:03:50;6.00;54.12
2025-08-06;16:03:52;27.80;53.33
2025-08-06;16:03:53;6.70;53.32
2025-08-06;16:03:55;6.70;53.37
2025-08-06;16:03:56;6.80;53.28
2025-08-06;16:03:58;8.20;53.40
2025-08-06;16:03:59;6.00;53.24
2025-08-06;16:04:01;7.30;53.20
2025-08-06;16:04:02;6.70;53.10
2025-08-06;16:04:04;7.20;53.16
2025-08-06;16:04:05;6.80;53.05
2025-08-06;16:04:07;7.40;53.03
2025-08-06;16:04:08;6.00;52.92
2025-08-06;16:04:10;6.70;52.93
2025-08-06;16:04:12;5.80;52.98
2025-08-06;16:04:13;8.10;53.07
2025-08-06;16:04:15;6.70;52.98
2025-08-06;16:04:16;7.30;53.01
2025-08-06;16:04:18;6.70;52.98
2025-08-06;16:04:19;6.80;52.99
2025-08-06;16:04:21;7.50;52.73
2025-08-06;16:04:22;7.40;53.10
2025-08-06;16:04:24;22.80;53.07
2025-08-06;16:04:25;6.80;53.14
2025-08-06;16:04:27;15.60;53.30
2025-08-06;16:04:28;7.40;53.48
2025-08-06;16:04:30;6.80;53.48
2025-08-06;16:04:31;4.60;53.40
2025-08-06;16:04:33;6.70;53.45
2025-08-06;16:04:34;26.30;53.33
2025-08-06;16:04:36;5.90;53.18
2025-08-06;16:04:37;6.60;53.09
2025-08-06;16:04:39;6.80;53.13
2025-08-06;16:04:40;6.00;53.06
2025-08-06;16:04:42;8.20;53.05
2025-08-06;16:04:43;6.00;53.03
2025-08-06;16:04:45;5.30;53.02
2025-08-06;16:04:46;7.30;53.03
2025-08-06;16:04:48;6.40;53.02
2025-08-06;16:04:49;5.30;53.06
2025-08-06;16:04:51;5.30;52.83
2025-08-06;16:04:52;6.70;52.86
2025-08-06;16:04:54;6.80;52.90
2025-08-06;16:04:55;5.90;52.88
2025-08-06;16:04:57;6.80;52.76
2025-08-06;16:04:58;6.00;52.73
2025-08-06;16:05:00;6.90;52.84
2025-08-06;16:05:01;8.10;53.05
2025-08-06;16:05:03;6.00;53.06
2025-08-06;16:05:04;6.00;53.11
2025-08-06;16:05:06;6.00;52.97
2025-08-06;16:05:07;12.80;53.18
2025-08-06;16:05:09;16.30;53.24
2025-08-06;16:05:10;18.20;53.49
2025-08-06;16:05:12;14.60;55.49
2025-08-06;16:05:13;24.60;58.19
2025-08-06;16:05:15;16.30;57.48
2025-08-06;16:05:16;13.10;56.44
2025-08-06;16:05:18;16.30;56.99
2025-08-06;16:05:19;24.10;55.89
2025-08-06;16:05:21;24.80;56.09
2025-08-06;16:05:22;19.80;56.27
2025-08-06;16:05:24;21.10;56.58
2025-08-06;16:05:25;13.50;56.70
2025-08-06;16:05:27;22.10;56.53
2025-08-06;16:05:28;23.60;56.53
2025-08-06;16:05:30;22.20;56.02
2025-08-06;16:05:31;17.60;56.35
2025-08-06;16:05:33;19.10;57.95
2025-08-06;16:05:34;23.50;58.48
2025-08-06;16:05:36;20.60;57.90
2025-08-06;16:05:37;16.40;57.05
2025-08-06;16:05:39;21.90;56.43
2025-08-06;16:05:40;32.10;56.45
2025-08-06;16:05:42;18.40;55.85
2025-08-06;16:05:43;25.00;55.76
2025-08-06;16:05:45;16.20;55.45
2025-08-06;16:05:46;11.80;55.41
2025-08-06;16:05:48;17.90;55.04
2025-08-06;16:05:49;16.40;55.29
2025-08-06;16:05:51;25.60;55.28
2025-08-06;16:05:52;8.90;55.32
