Data;Hora;CPU;RAM
2025-08-06;15:58:24;8.50;48.75
2025-08-06;15:58:26;2.30;48.05
2025-08-06;15:58:27;2.30;48.04
2025-08-06;15:58:29;0.70;47.84
2025-08-06;15:58:30;3.60;47.61
2025-08-06;15:58:32;5.20;47.72
2025-08-06;15:58:33;6.80;48.14
2025-08-06;15:58:35;19.40;48.44
2025-08-06;15:58:36;18.50;50.84
2025-08-06;15:58:38;25.90;53.37
2025-08-06;15:58:39;3.80;54.78
2025-08-06;15:58:41;4.40;54.18
2025-08-06;15:58:42;9.50;54.22
2025-08-06;15:58:44;14.00;53.74
2025-08-06;15:58:45;2.30;53.93
2025-08-06;15:58:47;1.50;53.80
2025-08-06;15:58:48;1.50;53.50
2025-08-06;15:58:50;1.50;53.36
2025-08-06;15:58:51;1.50;53.05
2025-08-06;15:58:53;1.40;52.89
2025-08-06;15:58:54;1.50;52.49
2025-08-06;15:58:56;0.70;52.46
2025-08-06;15:58:57;2.20;52.37
2025-08-06;15:58:59;1.50;52.19
2025-08-06;15:59:00;2.20;52.15
2025-08-06;15:59:02;1.40;52.02
2025-08-06;15:59:03;1.50;52.02
2025-08-06;15:59:05;1.50;52.02
2025-08-06;15:59:06;22.60;50.89
2025-08-06;15:59:08;1.40;50.75
2025-08-06;15:59:09;1.40;50.42
2025-08-06;15:59:11;1.50;50.36
2025-08-06;15:59:12;1.40;50.44
2025-08-06;15:59:14;1.40;50.40
2025-08-06;15:59:15;1.50;50.27
2025-08-06;15:59:17;1.50;50.27
2025-08-06;15:59:18;1.50;50.23
2025-08-06;15:59:20;1.50;50.24
2025-08-06;15:59:21;1.50;50.23
2025-08-06;15:59:23;1.50;50.33
2025-08-06;15:59:24;1.50;50.31
2025-08-06;15:59:26;0.70;50.31
2025-08-06;15:59:27;2.20;50.22
2025-08-06;15:59:29;1.40;50.23
2025-08-06;15:59:30;3.00;50.22
2025-08-06;15:59:32;1.50;50.31
2025-08-06;15:59:33;2.20;50.31
2025-08-06;15:59:35;1.40;50.27
2025-08-06;15:59:36;1.50;50.12
2025-08-06;15:59:38;1.50;50.10
