Data;Hora;CPU;RAM
2025-08-06;16:07:51;9.80;49.51
2025-08-06;16:07:52;6.80;48.81
2025-08-06;16:07:54;1.50;49.17
2025-08-06;16:07:55;0.70;49.00
2025-08-06;16:07:57;6.00;48.79
2025-08-06;16:07:58;4.30;48.47
2025-08-06;16:08:00;0.70;48.35
2025-08-06;16:08:01;22.90;49.56
2025-08-06;16:08:03;4.50;50.16
2025-08-06;16:08:04;14.80;51.42
2025-08-06;16:08:06;18.00;53.06
2025-08-06;16:08:07;3.80;52.98
2025-08-06;16:08:09;2.20;53.09
2025-08-06;16:08:10;14.20;53.24
2025-08-06;16:08:12;15.70;54.47
2025-08-06;16:08:13;15.00;54.56
2025-08-06;16:08:15;17.20;55.14
2025-08-06;16:08:16;2.30;55.15
2025-08-06;16:08:18;12.30;55.25
2025-08-06;16:08:19;12.60;55.33
2025-08-06;16:08:21;5.30;55.30
2025-08-06;16:08:22;9.10;55.33
2025-08-06;16:08:24;14.50;55.28
2025-08-06;16:08:25;11.20;55.36
2025-08-06;16:08:27;11.70;55.41
2025-08-06;16:08:28;6.10;55.63
2025-08-06;16:08:30;11.90;55.55
2025-08-06;16:08:31;14.10;55.60
2025-08-06;16:08:33;14.40;56.47
2025-08-06;16:08:34;16.20;57.16
2025-08-06;16:08:36;3.00;57.04
2025-08-06;16:08:37;4.50;56.74
2025-08-06;16:08:39;2.20;56.56
2025-08-06;16:08:41;6.60;56.18
2025-08-06;16:08:42;16.40;54.81
2025-08-06;16:08:44;6.00;54.50
2025-08-06;16:08:45;2.20;54.52
2025-08-06;16:08:47;2.30;55.44
2025-08-06;16:08:48;14.90;55.64
2025-08-06;16:08:50;19.40;56.15
2025-08-06;16:08:51;10.90;57.93
2025-08-06;16:08:53;12.80;58.36
2025-08-06;16:08:54;16.00;59.61
2025-08-06;16:08:56;8.20;60.50
2025-08-06;16:08:57;4.50;60.63
2025-08-06;16:08:59;13.30;61.09
2025-08-06;16:09:00;17.90;61.87
2025-08-06;16:09:02;21.40;63.58
2025-08-06;16:09:03;2.20;62.69
2025-08-06;16:09:05;10.60;62.96
2025-08-06;16:09:06;6.80;62.74
2025-08-06;16:09:08;12.40;62.66
2025-08-06;16:09:09;17.80;62.36
2025-08-06;16:09:11;3.00;62.22
2025-08-06;16:09:12;5.90;62.34
2025-08-06;16:09:14;7.50;62.03
2025-08-06;16:09:15;8.90;61.95
2025-08-06;16:09:17;8.90;61.71
2025-08-06;16:09:18;8.00;60.69
2025-08-06;16:09:20;8.90;60.30
2025-08-06;16:09:21;9.50;60.26
2025-08-06;16:09:23;9.60;60.09
2025-08-06;16:09:24;9.00;60.82
2025-08-06;16:09:26;2.90;60.00
2025-08-06;16:09:27;14.80;60.55
2025-08-06;16:09:29;11.20;60.46
2025-08-06;16:09:30;10.10;60.69
2025-08-06;16:09:32;14.00;60.26
2025-08-06;16:09:33;24.10;61.58
2025-08-06;16:09:35;14.10;61.29
2025-08-06;16:09:36;12.60;60.20
2025-08-06;16:09:38;32.60;63.10
2025-08-06;16:09:39;18.80;65.16
2025-08-06;16:09:41;28.30;64.91
2025-08-06;16:09:42;19.80;64.96
2025-08-06;16:09:44;24.80;68.09
2025-08-06;16:09:45;18.90;69.45
2025-08-06;16:09:47;24.50;69.83
2025-08-06;16:09:48;56.80;72.79
2025-08-06;16:09:50;18.70;73.12
2025-08-06;16:09:51;20.30;74.53
2025-08-06;16:09:53;46.60;75.48
2025-08-06;16:09:54;26.00;76.24
2025-08-06;16:09:56;41.40;76.80
2025-08-06;16:09:57;13.20;78.12
2025-08-06;16:09:59;14.50;78.35
2025-08-06;16:10:00;13.20;79.68
2025-08-06;16:10:02;9.80;80.40
2025-08-06;16:10:05;23.30;81.63
2025-08-06;16:10:07;51.60;81.91
2025-08-06;16:10:08;20.30;83.60
2025-08-06;16:10:10;17.00;83.61
2025-08-06;16:10:12;23.90;84.24
2025-08-06;16:10:14;20.50;85.15
2025-08-06;16:10:16;47.90;85.65
2025-08-06;16:10:17;18.80;86.13
2025-08-06;16:10:43;9.30;48.86
2025-08-06;16:10:45;12.30;48.65
2025-08-06;16:10:46;15.20;48.48
2025-08-06;16:10:48;16.20;48.65
2025-08-06;16:10:49;10.30;48.41
2025-08-06;16:10:51;8.20;47.93
2025-08-06;16:10:52;6.80;47.61
2025-08-06;16:10:54;7.20;48.49
2025-08-06;16:10:55;6.90;48.28
2025-08-06;16:10:57;9.00;48.13
2025-08-06;16:10:58;8.20;48.00
2025-08-06;16:11:00;7.50;47.74
2025-08-06;16:11:01;8.00;47.74
2025-08-06;16:11:03;8.10;47.85
2025-08-06;16:11:04;8.90;48.78
2025-08-06;16:11:06;22.30;50.16
2025-08-06;16:11:07;16.50;51.32
2025-08-06;16:11:09;10.40;52.32
2025-08-06;16:11:10;12.30;52.62
2025-08-06;16:11:12;9.60;52.96
2025-08-06;16:11:13;8.30;52.80
2025-08-06;16:11:15;11.30;52.37
2025-08-06;16:11:16;9.00;52.02
2025-08-06;16:11:18;22.10;52.53
2025-08-06;16:11:19;9.60;52.71
2025-08-06;16:11:21;20.80;53.86
2025-08-06;16:11:22;21.30;54.14
2025-08-06;16:11:24;11.70;53.95
2025-08-06;16:11:25;25.60;55.15
2025-08-06;16:11:27;24.60;57.05
2025-08-06;16:11:28;12.80;56.81
2025-08-06;16:11:30;19.20;57.31
2025-08-06;16:11:31;31.70;59.36
2025-08-06;16:11:33;49.60;65.91
2025-08-06;16:11:34;48.50;72.01
2025-08-06;16:11:36;9.60;73.21
2025-08-06;16:11:37;2.20;73.18
2025-08-06;16:11:39;16.30;72.36
2025-08-06;16:11:40;13.40;72.11
2025-08-06;16:11:42;1.40;71.94
2025-08-06;16:11:43;0.70;71.68
2025-08-06;16:11:45;1.50;71.54
2025-08-06;16:11:46;0.80;71.25
2025-08-06;16:11:48;0.70;71.21
2025-08-06;16:11:49;0.70;70.93
2025-08-06;16:11:51;10.40;70.90
2025-08-06;16:11:52;14.60;71.16
2025-08-06;16:11:54;0.70;71.12
2025-08-06;16:11:55;0.80;69.76
2025-08-06;16:11:57;13.50;70.94
2025-08-06;16:11:59;21.30;70.49
2025-08-06;16:12:00;14.90;70.18
2025-08-06;16:12:02;20.30;69.87
2025-08-06;16:12:03;14.80;69.80
2025-08-06;16:12:05;20.30;69.67
2025-08-06;16:12:06;60.10;69.46
2025-08-06;16:12:08;15.20;69.39
2025-08-06;16:12:09;23.60;69.23
2025-08-06;16:12:11;22.20;70.14
2025-08-06;16:12:12;18.10;70.76
2025-08-06;16:12:14;46.20;71.84
2025-08-06;16:12:15;22.60;71.43
2025-08-06;16:12:17;9.70;71.68
2025-08-06;16:12:18;5.20;71.47
2025-08-06;16:12:20;6.00;71.28
2025-08-06;16:12:21;5.20;70.69
2025-08-06;16:12:23;3.60;70.22
2025-08-06;16:12:24;3.70;70.13
2025-08-06;16:12:26;3.00;70.06
2025-08-06;16:12:27;3.00;70.00
2025-08-06;16:12:29;4.40;69.82
2025-08-06;16:12:30;3.70;69.24
2025-08-06;16:12:32;3.70;69.09
2025-08-06;16:12:33;4.40;68.93
2025-08-06;16:12:35;3.60;69.01
2025-08-06;16:12:36;3.70;69.10
2025-08-06;16:12:38;2.90;69.03
2025-08-06;16:12:39;19.10;69.11
2025-08-06;16:12:41;58.20;69.44
2025-08-06;16:12:42;10.30;69.63
2025-08-06;16:12:44;19.10;70.69
2025-08-06;16:12:45;35.40;71.85
2025-08-06;16:12:47;31.30;70.79
2025-08-06;16:12:48;23.90;70.83
2025-08-06;16:12:50;17.00;70.13
2025-08-06;16:12:51;15.60;70.19
2025-08-06;16:12:53;21.80;70.21
2025-08-06;16:12:54;12.10;69.83
2025-08-06;16:12:56;25.80;69.52
2025-08-06;16:12:57;9.80;69.67
