Data;Hora;CPU;RAM
2025-08-06;15:51:00;8.30;46.86
2025-08-06;15:51:01;0.70;47.42
2025-08-06;15:51:03;7.20;47.80
2025-08-06;15:51:04;1.40;47.71
2025-08-06;15:51:06;3.00;47.31
2025-08-06;15:51:07;0.00;47.91
2025-08-06;15:51:09;1.50;46.99
2025-08-06;15:51:10;6.00;46.94
2025-08-06;15:51:12;0.70;46.82
2025-08-06;15:51:13;4.60;46.85
2025-08-06;15:51:15;17.00;46.87
2025-08-06;15:51:16;0.70;46.70
2025-08-06;15:51:18;0.70;46.63
2025-08-06;15:51:19;0.80;46.63
2025-08-06;15:51:21;0.70;47.49
2025-08-06;15:51:22;1.50;47.47
2025-08-06;15:51:24;0.70;47.28
2025-08-06;15:51:25;1.50;47.27
2025-08-06;15:51:27;0.70;47.20
2025-08-06;15:51:28;0.70;47.28
2025-08-06;15:51:30;0.70;47.29
2025-08-06;15:51:31;0.70;47.20
2025-08-06;15:51:33;0.70;47.16
2025-08-06;15:51:34;0.70;47.10
2025-08-06;15:51:36;1.50;47.03
2025-08-06;15:51:37;1.40;47.01
2025-08-06;15:51:39;7.90;47.14
2025-08-06;15:51:40;9.50;47.20
2025-08-06;15:51:42;7.90;47.67
2025-08-06;15:51:43;8.70;47.64
2025-08-06;15:51:45;8.10;47.57
2025-08-06;15:51:46;6.70;47.71
2025-08-06;15:51:48;1.40;47.67
2025-08-06;15:51:49;0.70;47.47
2025-08-06;15:51:51;0.70;47.54
2025-08-06;15:51:52;0.70;47.53
2025-08-06;15:51:54;0.70;47.47
2025-08-06;15:51:55;0.70;47.44
2025-08-06;15:51:57;1.40;47.45
2025-08-06;15:51:58;1.50;47.37
2025-08-06;15:52:00;1.50;47.24
2025-08-06;15:52:01;0.70;47.24
2025-08-06;15:52:03;2.90;47.23
2025-08-06;15:52:04;1.50;47.25
2025-08-06;15:52:06;2.20;47.17
2025-08-06;15:52:07;1.40;47.15
2025-08-06;15:52:09;0.70;47.17
2025-08-06;15:52:10;17.80;47.25
2025-08-06;15:52:12;1.40;47.31
2025-08-06;15:52:13;0.70;47.20
2025-08-06;15:52:15;0.70;47.27
2025-08-06;15:52:16;0.70;47.25
2025-08-06;15:52:18;1.40;47.20
2025-08-06;15:52:19;1.50;47.27
2025-08-06;15:52:21;0.70;47.33
2025-08-06;15:52:22;0.70;47.32
2025-08-06;15:52:24;0.70;47.37
2025-08-06;15:52:25;0.70;47.32
2025-08-06;15:52:27;0.70;47.36
2025-08-06;15:52:28;1.40;47.23
2025-08-06;15:52:30;0.70;47.24
2025-08-06;15:52:31;1.50;47.16
2025-08-06;15:52:33;9.20;47.02
2025-08-06;15:52:34;1.50;47.11
2025-08-06;15:52:36;1.50;47.08
2025-08-06;15:52:37;1.40;47.02
2025-08-06;15:52:39;1.40;47.07
2025-08-06;15:52:40;0.00;47.10
2025-08-06;15:52:42;0.80;47.11
2025-08-06;15:52:43;1.50;47.08
2025-08-06;15:52:45;1.50;47.12
2025-08-06;15:52:46;0.70;47.12
2025-08-06;15:52:48;1.50;47.19
2025-08-06;15:52:49;0.70;47.12
2025-08-06;15:52:51;0.70;47.23
2025-08-06;15:52:52;0.70;47.12
2025-08-06;15:52:54;1.40;47.07
2025-08-06;15:52:55;0.70;47.14
2025-08-06;15:52:57;2.20;47.17
2025-08-06;15:52:58;0.00;47.17
2025-08-06;15:53:00;12.30;47.11
2025-08-06;15:53:01;1.50;47.16
2025-08-06;15:53:03;0.70;47.20
2025-08-06;15:53:04;1.50;47.21
2025-08-06;15:53:06;1.50;47.24
2025-08-06;15:53:07;1.50;47.23
2025-08-06;15:53:09;3.00;47.20
2025-08-06;15:53:10;1.50;47.21
2025-08-06;15:53:12;2.20;47.27
2025-08-06;15:53:13;9.80;47.11
2025-08-06;15:53:15;1.50;47.19
2025-08-06;15:53:16;1.50;47.23
2025-08-06;15:53:18;1.50;47.23
2025-08-06;15:53:19;1.50;47.29
2025-08-06;15:53:21;0.70;47.11
2025-08-06;15:53:22;1.40;47.14
2025-08-06;15:53:24;1.40;47.08
2025-08-06;15:53:25;0.70;47.06
2025-08-06;15:53:27;0.70;47.06
2025-08-06;15:53:28;5.10;47.08
2025-08-06;15:53:30;1.50;47.11
2025-08-06;15:53:31;1.50;47.11
2025-08-06;15:53:33;3.70;47.23
2025-08-06;15:53:34;8.20;47.25
2025-08-06;15:53:36;6.80;47.55
2025-08-06;15:53:37;11.90;48.01
